,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Stable ID,Threat (paraphrased),Threat (verbatim),Pro-dem Mitigation (paraphrased),Pro-dem Mitigation (verbatim),Pro-dem Opportunity (paraphrased),Pro-dem Opportunity (verbatim),Source,Note,Democracy Aspect  1,Democracy Aspect  2,Democracy Aspect  3,Democracy Aspect  4,Democracy Aspect  5,Democracy Aspect  6,More than 4 Democracy Codes ,,,,
11,///,///,///,///,Train a new cohort of public interest technologists to bridge technical and policy capacity in democratic institutions,"""training of a new cohort of 'public interest technologists,' given the imperative of improving digital skills among public servants to ensure the promise of technology is met for democratic institutions""","George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,2.3 PRIMARY Effective and Accountable Government,2.4 SECONDARY The Democratic Effectiveness of the Legislature,,,,,no,,,,
12,"Government misuse of AI enables repression through enhanced surveillance, online censorship, and targeted persecution of citizens and civil society","""""AI-assisted government repression manifests in different forms, including enhanced surveillance, online censorship, and targeted persecution of online users""","Urge governments to impose sanctions on entities enabling AI-facilitated repression, and use monitoring evidence to pressure technology companies to cease AI sales to authoritarian regimes","""Democracy proponents are urging governments to impose sanctions on entities that enable or engage in AI-facilitated repression…Advocates have also used evidence from monitoring efforts—such as Freedom House's Freedom on the Net reports—to push technology companies to cease sales of AI products to authoritarian regimes.""",///,///,"George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,1.3 PRIMARY Civil and Political Rights,4.1 SECONDARY External Influences on the Country's Democracy,4.2 SECONDARY The Country's Democratic Impact Abroad,2.7 SECONDARY Civilian Control of the Military and Police,1.2 SECONDARY Rule of Law and Access to Justice,,yes,,,,
13,"AI systems in government services embed bias in service delivery and may fail to reach or correctly identify marginalised populations, risking discrimination and disenfranchisement.","""given risks around government misuse of data and the potential to advance bias through increasingly automated provision and related barriers to public trust""",Ongoing fairness and rights monitoring of deployed government AI systems,"""democratic government use of AI requires ongoing monitoring and attention to ensure fairness, equity, and rights-protection""",///,///,"George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,1.1 PRIMARY Nationhood and Citizenship,1.2 SECONDARY Rule of Law and Access to Justice,2.3 SECONDARY Effective and Accountable Government,,,,no,,,,
14,Concentration of AI power in private firms,"""concentrating immense power in a few Silicon Valley firms""",Publicly accountable AI alternatives,"""government-funded, publicly accountable AI""",///,///,"George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,2.8 PRIMARY Illegitimate Influence over Policy-Making,1.4 SECONDARY Economic and Social Rights,2.3 SECONDARY Effective and Accountable Government,,,,no,,,,
15,Covert use of generative AI in legal drafting and lawmaking undermines democratic transparency and accountability in the legislative process,"""The use of generative AI to write laws remains a question of continued ethical scrutiny requiring urgent attention, especially with reports that AI was 'secretly' used by lawmakers to write an ordinance in a Brazilian city.""",///,///,///,///,"George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,2.3 PRIMARY Effective and Accountable Government,2.4 SECONDARY The Democratic Effectiveness of the Legislature,,,,,no,,,,
16,///,///,///,///,Careful monitoring of AI in policymaking,"""Civil society initiatives are working to monitor and advise on AI use in public policy, especially given many of the previously discussed risks related to government use of AI. Such efforts include the AI-Enabled Policymaking Project, a collaboration between the RAND Corporation, the Stimson Center, and the Tony Blair Institute…""","George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,2.3 PRIMARY Effective and Accountable Government,2.4 SECONDARY The Democratic Effectiveness of the Legislature,,,,,no,,,,
18,///,///,///,///,Expand AI education in schools to improve citizens' understanding of AI as it increasingly interacts with democratic institutions,"""Strengthening public education on AI can help bolster democracy by improving citizens' understanding of these technologies as they increasingly collide with public life and with democratic institutions""","George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,3.2 PRIMARY Opinion Formation and Political Participation,2.3 SECONDARY Effective and Accountable Government,,,,,no,,,,
19,Majority of public are very concerned that AI-generated content is heightening political violence and polarization,"""a majority (55 percent) of respondents saying they are 'very concerned' about AI-generated content online heightening political violence and polarization""",///,///,///,///,"George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,3.2 PRIMARY Opinion Formation and Political Participation,1.3 SECONDARY Civil and Political Rights,,,,,no,,,,
20,///,///,///,///,Social activists can use AI tools to improve and tailor messaging to counter better-resourced adversaries,"""scholars of democracy movements identify potential for social activists to use LLMs and other AI tools to improve messaging (and 'counter' messaging), helping social movements tailor messages to different audiences""","George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,3.2 PRIMARY Opinion Formation and Political Participation,,,,,,no,,,,
21,"LLM agents risk reinforcing ideological rigidity, driving people away from online spaces and eroding the foundations of trust and participation central to democratic flourishing","""They warn that this could drive people away from online spaces, further erode public trust, and reinforce ideological rigidity… it's a grave risk that AI's influence in public squares could wreak havoc on the foundations of trust and participation central to democratic flourishing""",///,///,///,///,"George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,3.2 PRIMARY Opinion Formation and Political Participation,3.1 SECONDARY Independent and Fact-Based Journalistic Media,,,,,no,,,,
22,///,///,///,///,Civil society organisations are using AI to detect instances of bias and misuse in AI systems,"""Some civil society–led, technology-enabled activities are focused on using AI technologies to help detect instances of bias and harm from AI. Examples of these initiatives include the work of Eticas.ai, Humane Intelligence, and TechTonic Justice, whose agendas work to identify bias and misuse in AI systems""","George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,3.2 PRIMARY Opinion Formation and Political Participation,,,,,,no,,,,
24,"Economic disruption, wealth concentration and job displacement may risk democratic backsliding","""Research indicates economic disruption can play a role in democratic backsliding—in concert with other factors, including culture, legal change, leaders, and media. As a result, AI's broader interactions with jobs and the economy may also impact democracy. But the nature and scale of AI's potential economic disruption remains disputed."" And ""projections from the World Economic Forum predicting some 92 million jobs could be displaced by AI by 2030 (while some 170 million new ones may emerge)""",Continued scrutiny and mapping to guide policy responses,"""AI's effects on the economy through job losses, wealth concentration, or other factors will require continued scrutiny and mapping to guide policy responses""",///,///,"George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,1.4 PRIMARY Economic and Social Rights,2.3 SECONDARY Effective and Accountable Government,3.2 SECONDARY Opinion Formation and Political Participation,,,,no,,,,
41,"AI-shaped information environments affect citizens' exposure to political information, their ability to voice concerns, and increase opportunities for manipulation","""This includes how people are exposed to and can access political information, can voice their views and concerns, and how these informational foundations potentially increase opportunities for manipulation.""",Platforms must provide assessability of AI-driven moderation; regular external audits of algorithmically promoted or muted content are needed.,"""We also need regular external audits of the effects of AI on the information visible on online platforms, especially the nature and kind of information that is algorithmically promoted or muted.""",,,"Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,3.2 PRIMARY Opinion Formation and Political Participation,3.1 SECNODARY Independent and Fact-Based Journalistic Media,1.3 SECONDARY Civil and Political Rights,,,,no,,,,
42,///,///,///,///,AI may support new deliberative/participatory formats,"""This in turn might open opportunities for new deliberative and participatory formats in democracies, thereby strengthening and vitalizing democracy.""","Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,3.2 PRIMARY Opinion Formation and Political Participation,1.1 SECONDARY Nationhood and Citizenship,1.3 SECONDARY Civil and Political Rights,,,,no,,,,
43,AI content moderation may suppress legitimate speech when trying to distinguish synthetic and human inputs,"""This makes them difficult to identify with automated data-driven AI and risks suppression of legitimate political speech.""","Platforms must provide assessability of AI moderation, supported by external audits.","""AI-based moderation needs assessability provided by platforms and external audits to ensure its proper workings.""",///,///,"Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,1.3 PRIMARY Civil and Political Rights,3.1 SECONDARY Independent and Fact-Based Journalistic Media,3.2 SECONDARY Opinion Formation and Political Participation,2.2 SECONDARY The Democratic Role of Political Parties,,,no,,,,
45,AI may weaken the ability of people to self-rule,"""AI companies hold central positions in democracies, potentially negatively influencing the abilities of people for self-rule""",effective government and civil society oversight of AI companies,"""effective government and civil society oversight of companies that provide AI and those that employ AI to ensure that the foundations of meaningful self-rule hold""",///,///,"Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,3.2 PRIMARY Opinion Formation and Political Participation,2.3 SECONDARY Effective and Accountable Government,1.3 SECONDARY Civil and Political Rights,,,,no,,,,
46,"Government dependence of AI grows and knowledge is transferred to AI systems in opaque ways, giving AI companies increasing structural power","""AI companies hold central positions in democracies, ...growing government dependence on AI companies and an opaque transfer of knowledge from governments to these service providers""",effective government and civil society oversight of AI companies,"""effective government and civil society oversight of companies that provide AI and those that employ AI to ensure that the foundations of meaningful self-rule hold""",///,///,"Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ","Moved from H9A to H9F (2026-04-24): 'growing government dependence on AI companies and opaque transfer of knowledge from governments to these service providers' is the paradigmatic H9F dependency mechanism, not H9A concentration.",2.3 PRIMARY Effective and Accountable Government,2.8 SECONDARY Illegitimate Influence over Policy-Making,1.4 SECONDARY Economic and Social Rights,,,,no,,,,
47,"AI increases the rhetorical and practical power of experts, reducing the option space for democratic decision-making","p.6 - these approaches [..] have strong rhetorical and legitimizing power. This apparent increase in the power of experts to guide societies in responding to challenges can reduce the option space available for democratic decision-making, shifting the question from whether people can to whether they should decide for themselves.""",///,///,///,///,"Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,2.8 PRIMARY Illegitimate Influence over Policy-Making,2.3 SECONDARY Effective and Accountable Government,3.2 SECONDARY Opinion Formation and Political Participation,,,,no,,,,
48,AI innovation shifting from universities to firms weakens democratic oversight and regulation of AI development,"""Over time, the power to innovate and critically interrogate AI may shift from public to commercial actors, weakening AI oversight and regulation by democratically legitimated institutions.""",///,///,///,///,"Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ","Moved from H9A to H9F (2026-04-24): this entry describes structural dependency on commercial actors for AI innovation/knowledge (weakening democratic oversight because expertise has shifted), which is the dependency mechanism, not concentration-as-market-dominance.",2.8 PRIMARY Illegitimate Influence over Policy-Making,2.3 SECONDARY Effective and Accountable Government,,,,,no,,,,
49,"AI enables targeted political persuasion by predicting individual reactions to communicative interventions, allowing professional communicators and lobbyists to influence citizens and legislators at scale","""This could allow professional communicators to reach people in exactly the right way to shift opinions and behavior… LLMs are currently used by academics and campaign professionals to simulate reactions and attitudes by prototypical voters for message testing… AI can also be used to generate messages aimed at persuading people, with early working papers indicating interventions designed by LLMs to have persuasive appeal""",///,///,///,///,"Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,2.8 PRIMARY Illegitimate Influence over Policy-Making,2.3 SECONDARY Effective and Accountable Government,3.2 SECONDARY Opinion Formation and Political Participation,3.1 SECONDARY Independent and Fact-Based Journalistic Media,2.4 SECONDARY The Democratic Effectiveness of the Legislature,,yes,,,,
50,"AI could enable mass-seeding of fake information at scale, diluting information environments and making it harder for citizens to access reliable political information","""More problematic still is the chance that future AI could be used to produce fake information at scale… flooding information environments with masses of unreliable or misleading AI-generated content. This would dilute information environments, making it more difficult for people to access crucial information and/or making information appear untrustworthy.""",///,///,///,///,"Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,3.1 PRIMARY Independent and Fact-Based Journalistic Media,1.3 SECONDARY Civil and Political Rights,3.2 SECONDARY Opinion Formation and Political Participation,2.8 SECONDARY Illegitimate Influence over Policy-Making,,,no,,,,
51,AI replicates and reinforces societal bias,"p.7 — ""By predicting how people will behave under various circumstances based on observations from the past, AI differentiates among people based on criteria represented in data points. This risks reinforcing existing biases in society""",Continuous observation and auditing of AI implementations to surface bias and prevent discriminatory patterns being ported into decisions,"""This makes continuous observation and auditing of AI implementation crucial.""",///,///,"Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,1.1 PRIMARY Nationhood and Citizenship,1.2 SECONDARY Rule of Law and Access to Justice,,,,,no,,,,
52,"AI-based policing and sentencing tools reproduce historical over-representation of marginalised groups in crime data, compounding discrimination","""Historically, marginalized groups will be overrepresented in crime records, negatively impacting group members in AI-based approaches to policing or sentencing""",Continuous observation and auditing of AI implementations to surface bias and prevent discriminatory patterns being ported into decisions,"""This makes continuous observation and auditing of AI implementation crucial.""",///,///,"Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,1.2 PRIMARY Rule of Law and Access to Justice,1.1 SECONDARY Nationhood and Citizenship,2.7 SECONDARY Civilian Control of the Military and Police,,,,no,,,,
53,"Biased AI policing and sentencing may compound felony disenfranchisement, systematically skewing the electorate against historically marginalised groups","""In countries like the US, where voting rights are withheld for felons…systematic biases in AI-supported policing and sentencing might over time come to systematically bias the electorate against historically disenfranchised groups""",Continuous observation and auditing of AI implementations to surface bias and prevent discriminatory patterns being ported into decisions,"""This makes continuous observation and auditing of AI implementation crucial.""",///,///,"Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,1.1 PRIMARY Nationhood and Citizenship,1.2 SECONDARY Rule of Law and Access to Justice,2.1 SECONDARY Free and Fair Elections,2.7 SECONDARY Civilian Control of the Military and Police,,,no,,,,
54,"AI-assisted redistricting risks encoding historical biases into electoral boundaries, skewing political representation","p. 7 - ""AI-based approaches can also have a profound effect on electoral redistricting. AI could lead to a reinforcement of structural inequality and discrimination by continuing patterns found in historical data even if a society is trying to enact more equal, less discriminatory practices.""",Continuous observation and auditing of AI implementations to surface bias and prevent discriminatory patterns being ported into decisions,"""This makes continuous observation and auditing of AI implementation crucial.""",///,///,"Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,2.1 PRIMARY Free and Fair Elections,1.1 SECONDARY Nationhood and Citizenship,,,,,no,,,,
56,AI invisibility reduces representation for minorities,"""minorities...remain invisible to computer vision""",///,///,///,///,"Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,1.1 PRIMARY Nationhood and Citizenship,2.3 SECONDARY Effective and Accountable Government,,,,,no,,,,
57,AI may exacerbate inequality via labour displacement,"""it appears that firms do so mostly to lower their own labor costs by substituting AI for human labor-based tasks… which in turn threatens to increase economic inequality.""",Broad sharing of AI economic gains,"""realizing AI's economic potential for societies means ensuring that respective gains are broadly shared and do not only benefit a narrow elite.""",///,///,"Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,1.4 PRIMARY Economic and Social Rights,2.3 SECONDARY Effective and Accountable Government,,,,,no,,,,
58,///,///,///,///,AI may help aging societies maintain productivity,"""AI can help aging societies complete substitutable work tasks and concentrate the shrinking labor force on currently nonsubstitutable tasks, thereby maintaining productivity levels in the face of growing demographic pressures.""","Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,1.4 PRIMARY Economic and Social Rights,,,,,,no,,,,
59,"AI prediction tools risk undermining public trust in elections as genuinely open contests, weakening the 'organised uncertainty' on which democratic legitimacy depends","""AI applications threaten to offset this perceived uncertainty of who will lose and who will win elections.""",Protect the perceived openness of elections by keeping people sceptical about AI's predictive power,"""It is thus important to keep organized uncertainty alive in the face of AI, not weaken it through irresponsible and fantastical speculation.""",///,///,"Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,2.1 PRIMARY Free and Fair Elections,3.2 SECONDARY Opinion Formation and Political Participation,3.1 SECONDARY Independent and Fact-Based Journalistic Media,,,,no,,,,
60,AI might give competitive advantage in campaigns,"""which could give campaigns a competitive advantage""",Effect diminishing on its own: Broad availability of AI campaign tools is likely to neutralise any competitive advantage.,"""Any such advantage is likely fleeting, though, given the broad availability of AI-based tools and campaign organizations learning from others' successes and failures.""",///,///,"Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,2.1 PRIMARY Free and Fair Elections,2.2 SECONDARY The Democratic Role of Political Parties,,,,,no,,,,
61,"AI may allow autocracies to overcome their traditional information-processing disadvantage, eroding a structural edge that has historically favoured democracies","""A close connection between the state and firms developing and deploying AI in autocracies creates an environment of permissive privacy regulation that provides developers and modelers with vast troves of data, allowing them to refine AI-enabled models of human behavior.""",///,///,///,///,"Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,3.1 PRIMARY Independent and Fact-Based Journalistic Media,4.1 SECONDARY External Influences on the Country's Democracy,,,,,no,,,,
62,"AI-assisted governance may increase autocratic state capacity and service quality, potentially strengthening public support for authoritarian systems at democracy's expense","""AI-assisted governance and planning… could increase the quality of state-provided public services… There are those who might see these benefits as a worthy trade-off with some individual freedoms, leading to strengthened public support for autocracies and state control""",///,///,///,///,"Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,4.1 PRIMARY External Influences on the Country's Democracy,4.2 SECONDARY The Country's Democratic Impact Abroad,3.2 SECONDARY Opinion Formation and Political Participation,,,,no,,,,
63,"AI-generated content and ultra-low-cost competitors pressure news organisations' revenues and audiences, risking a reduction in the volume and diversity of political information available to citizens","""This puts pressure on journalists… on news organizations who might face a new set of ultra low-cost competitors who specialize on automatically generated news content… might lead to a decline in the coverage of politics, or even a reduction in the number of news organizations""",///,///,///,///,"Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ",checked,3.1 PRIMARY Independent and Fact-Based Journalistic Media,3.2 SECONDARY Opinion Formation and Political Participation,1.4 SECONDARY Economic and Social Rights,,,,no,,,,
